Zone,Area,Crime_Type,Time,Date,Status
North-East Nagpur,Kamptee Road,Fraud,15:00,2025-04-06,Pending
South-West Nagpur,Pratap Nagar,Assault,00:15,2025-05-14,Pending
North-East Nagpur,Vaishali Nagar,Harassment,12:30,2025-04-07,Pending
North-East Nagpur,Vaishali Nagar,Robbery,20:45,2025-03-01,Resolved
South-West Nagpur,Trimurti Nagar,Theft,15:30,2025-04-17,Pending
North-East Nagpur,Kamptee Road,Fraud,04:00,2025-03-09,Resolved
Central Nagpur,Reshimbagh,Theft,08:45,2025-01-25,Resolved
North-East Nagpur,Kamptee Road,Robbery,12:15,2025-04-08,Resolved
North-East Nagpur,Binaki,Fraud,18:45,2025-04-08,Pending
Central Nagpur,Mahal,Assault,21:30,2025-05-17,Resolved
North-West Nagpur,Lonara,Fraud,08:30,2025-01-22,Pending
North-East Nagpur,Kamptee Road,Robbery,06:45,2025-04-03,Pending
North-East Nagpur,Kharbi,Robbery,03:45,2025-01-25,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,14:15,2025-03-04,Pending
Central Nagpur,Mahal,Robbery,07:45,2025-02-19,Pending
North-East Nagpur,Kharbi,Theft,08:15,2025-01-29,Pending
North-West Nagpur,Nara,Robbery,08:45,2025-03-06,Resolved
Central Nagpur,Reshimbagh,Theft,15:45,2025-02-03,Resolved
North-East Nagpur,Kharbi,Assault,01:30,2025-07-03,Resolved
North-West Nagpur,Kalmeshwar,Robbery,12:00,2025-01-19,Resolved
North-East Nagpur,Binaki,Fraud,16:45,2025-06-19,Resolved
North-West Nagpur,Lonara,Assault,16:15,2025-06-13,Resolved
North-West Nagpur,Borgaon,Robbery,12:45,2025-03-26,Pending
Central Nagpur,Sitabuldi,Theft,06:00,2025-05-12,Pending
Central Nagpur,Reshimbagh,Chain Snatching,14:00,2025-04-17,Pending
North-East Nagpur,Kharbi,Assault,10:30,2025-03-17,Resolved
South-West Nagpur,Sneha Nagar,Robbery,19:15,2025-04-05,Resolved
North-East Nagpur,Kamptee Road,Assault,22:15,2025-02-11,Resolved
Central Nagpur,Ganeshpeth,Fraud,07:45,2025-02-08,Resolved
North-West Nagpur,Borgaon,Fraud,07:15,2025-01-24,Pending
Central Nagpur,Reshimbagh,Robbery,05:45,2025-07-05,Pending
Central Nagpur,Mahal,Theft,07:30,2025-05-18,Pending
Central Nagpur,Reshimbagh,Robbery,00:30,2025-05-09,Resolved
South-West Nagpur,Sneha Nagar,Theft,19:00,2025-04-26,Pending
Central Nagpur,Mahal,Robbery,,2025-07-04,Resolved
North-East Nagpur,Vaishali Nagar,Fraud,12:00,2025-05-01,Resolved
Central Nagpur,Reshimbagh,Assault,07:30,2025-01-17,Resolved
Central Nagpur,Ganeshpeth,Chain Snatching,23:45,2025-04-11,Resolved
North-West Nagpur,Borgaon,Assault,06:45,2025-04-10,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,23:00,2025-02-28,Pending
North-East Nagpur,Binaki,Chain Snatching,11:00,2025-02-01,Pending
Central Nagpur,Reshimbagh,Theft,21:45,2025-07-02,Pending
South-West Nagpur,Sneha Nagar,Harassment,08:15,2025-03-07,Resolved
Central Nagpur,Mahal,Chain Snatching,09:30,2025-01-29,Resolved
North-West Nagpur,Borgaon,Harassment,07:00,2025-01-14,Resolved
South-West Nagpur,Sneha Nagar,Robbery,21:30,2025-01-26,Resolved
North-West Nagpur,Borgaon,Chain Snatching,03:00,2025-03-02,Resolved
South-West Nagpur,Pratap Nagar,Robbery,13:15,2025-04-27,Resolved
Central Nagpur,Sitabuldi,Assault,23:30,2025-05-16,Resolved
North-West Nagpur,Nara,Chain Snatching,00:00,2025-05-16,Pending
Central Nagpur,Sitabuldi,Robbery,13:45,2025-05-16,Pending
Central Nagpur,Ganeshpeth,Robbery,02:30,,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,01:15,2025-06-07,Pending
North-East Nagpur,Vaishali Nagar,Assault,20:45,2025-05-27,Resolved
Central Nagpur,Reshimbagh,Theft,01:15,2025-05-11,Resolved
South-West Nagpur,Pratap Nagar,Assault,18:00,2025-04-23,Resolved
North-East Nagpur,Vaishali Nagar,Harassment,13:15,2025-03-15,Resolved
Central Nagpur,Mahal,Theft,20:30,2025-02-19,Pending
North-East Nagpur,Kharbi,Theft,03:00,2025-06-08,Pending
Central Nagpur,Mahal,Fraud,04:45,2025-03-04,Resolved
North-West Nagpur,Kalmeshwar,Fraud,03:15,2025-03-09,Pending
Central Nagpur,Reshimbagh,Assault,03:15,2025-04-01,Resolved
Central Nagpur,Ganeshpeth,Chain Snatching,13:45,2025-03-27,Pending
North-East Nagpur,Binaki,Harassment,00:30,2025-01-23,Resolved
North-East Nagpur,Kharbi,,21:15,2025-03-10,Resolved
Central Nagpur,Reshimbagh,Assault,12:30,2025-01-29,Pending
Central Nagpur,Sitabuldi,Fraud,10:00,2025-02-17,Pending
North-East Nagpur,Binaki,Harassment,20:30,2025-05-01,Resolved
North-West Nagpur,Kalmeshwar,Harassment,21:15,2025-03-02,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,07:45,2025-05-31,Resolved
North-West Nagpur,Nara,Fraud,03:00,2025-06-01,Pending
Central Nagpur,Sitabuldi,,11:15,2025-03-15,Pending
North-East Nagpur,Kharbi,Assault,20:00,2025-05-04,Pending
Central Nagpur,Sitabuldi,Fraud,11:00,2025-05-26,Pending
North-West Nagpur,Lonara,,19:30,2025-02-26,Resolved
South-West Nagpur,Pratap Nagar,Harassment,01:30,2025-04-15,Pending
Central Nagpur,Ganeshpeth,Theft,01:00,2025-01-28,Resolved
North-West Nagpur,Kalmeshwar,Chain Snatching,06:00,2025-05-18,Pending
South-West Nagpur,Manish Nagar,Theft,11:45,2025-02-14,Pending
Central Nagpur,Mahal,Robbery,15:00,2025-06-08,Pending
Central Nagpur,Sitabuldi,Harassment,12:45,,Resolved
South-West Nagpur,Pratap Nagar,Harassment,10:00,2025-02-20,Resolved
North-West Nagpur,Lonara,Assault,21:15,2025-01-21,Pending
Central Nagpur,Ganeshpeth,Assault,01:45,2025-01-06,Pending
North-West Nagpur,Lonara,Chain Snatching,19:00,2025-01-21,Resolved
North-West Nagpur,Lonara,Theft,02:30,2025-05-07,Pending
South-West Nagpur,Trimurti Nagar,Theft,01:45,2025-04-05,Resolved
Central Nagpur,Ganeshpeth,Assault,22:30,2025-03-23,Resolved
Central Nagpur,Sitabuldi,Fraud,08:45,2025-03-10,Pending
North-East Nagpur,Kamptee Road,Harassment,20:00,2025-05-28,Pending
South-West Nagpur,Sneha Nagar,Chain Snatching,05:00,2025-06-24,Resolved
South-West Nagpur,Sneha Nagar,Chain Snatching,10:15,2025-06-07,Pending
South-West Nagpur,Pratap Nagar,Harassment,10:15,2025-03-09,Pending
North-East Nagpur,Binaki,Assault,,2025-01-31,Resolved
North-East Nagpur,Kamptee Road,Robbery,05:15,2025-05-25,Resolved
North-East Nagpur,Binaki,Chain Snatching,15:15,2025-05-14,Pending
North-East Nagpur,Kharbi,Fraud,,2025-04-25,Pending
North-West Nagpur,Lonara,Harassment,13:30,2025-01-15,Resolved
South-West Nagpur,Trimurti Nagar,Assault,05:45,2025-02-09,Pending
Central Nagpur,Reshimbagh,Assault,03:30,2025-07-01,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,09:00,2025-06-08,Pending
South-West Nagpur,Manish Nagar,Robbery,01:15,2025-03-09,Pending
Central Nagpur,Sitabuldi,Theft,10:45,2025-02-12,Resolved
North-East Nagpur,Kharbi,Chain Snatching,00:30,2025-04-06,Resolved
North-East Nagpur,Binaki,Robbery,07:45,2025-05-17,Pending
North-West Nagpur,Lonara,Harassment,11:00,2025-01-12,Pending
North-West Nagpur,Nara,Assault,13:45,2025-06-12,Resolved
North-West Nagpur,Nara,Harassment,18:45,2025-05-29,Pending
Central Nagpur,Mahal,Harassment,01:45,2025-03-27,Pending
South-West Nagpur,Sneha Nagar,Chain Snatching,17:15,2025-02-04,Pending
South-West Nagpur,Sneha Nagar,Assault,12:45,2025-03-21,Resolved
North-East Nagpur,Vaishali Nagar,Robbery,00:45,2025-05-06,Resolved
North-West Nagpur,Lonara,Robbery,,2025-07-03,Resolved
South-West Nagpur,Pratap Nagar,Fraud,17:00,2025-05-04,Resolved
South-West Nagpur,Trimurti Nagar,Robbery,,2025-01-27,Pending
South-West Nagpur,Trimurti Nagar,Chain Snatching,22:15,2025-04-09,Resolved
Central Nagpur,Ganeshpeth,Harassment,00:30,2025-02-06,Resolved
North-West Nagpur,Kalmeshwar,Assault,03:15,2025-07-01,Pending
North-West Nagpur,Borgaon,Assault,04:15,2025-01-18,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,21:15,2025-01-25,Resolved
North-West Nagpur,Kalmeshwar,Fraud,15:15,2025-01-15,Pending
Central Nagpur,Ganeshpeth,Assault,23:30,2025-03-05,Pending
North-West Nagpur,Borgaon,Fraud,01:15,2025-04-24,Resolved
North-East Nagpur,Kharbi,Theft,04:30,2025-02-28,Resolved
North-West Nagpur,Kalmeshwar,Fraud,21:15,2025-02-06,Resolved
Central Nagpur,Sitabuldi,Fraud,05:15,2025-05-20,Resolved
Central Nagpur,Reshimbagh,Robbery,11:45,2025-03-28,Pending
South-West Nagpur,Pratap Nagar,Robbery,05:15,2025-01-17,Pending
Central Nagpur,Reshimbagh,Fraud,23:30,2025-02-10,Resolved
Central Nagpur,Reshimbagh,Harassment,21:15,2025-02-20,Pending
South-West Nagpur,Pratap Nagar,Harassment,11:00,2025-07-05,Pending
North-East Nagpur,Kharbi,Robbery,00:00,2025-04-12,Pending
North-West Nagpur,Nara,Chain Snatching,14:45,2025-02-21,Pending
Central Nagpur,Reshimbagh,Theft,17:00,2025-06-07,Pending
North-East Nagpur,Vaishali Nagar,Harassment,17:15,2025-03-04,Resolved
North-East Nagpur,Kamptee Road,Robbery,02:15,2025-01-29,Pending
North-East Nagpur,Kamptee Road,Assault,04:15,2025-06-23,Pending
South-West Nagpur,Trimurti Nagar,Assault,11:45,2025-02-16,Pending
North-East Nagpur,Kamptee Road,Harassment,19:30,2025-03-31,Pending
North-West Nagpur,Borgaon,Theft,13:45,2025-03-07,Pending
North-East Nagpur,Kharbi,Chain Snatching,05:00,2025-03-28,Resolved
North-West Nagpur,Nara,Robbery,20:30,2025-01-10,Pending
North-West Nagpur,Kalmeshwar,Fraud,00:45,2025-04-09,Pending
North-West Nagpur,Lonara,Fraud,07:45,2025-06-28,Pending
North-West Nagpur,Borgaon,Robbery,00:45,2025-07-03,Resolved
Central Nagpur,Ganeshpeth,Assault,22:30,2025-06-30,Resolved
North-East Nagpur,Kharbi,Theft,00:00,2025-03-26,Resolved
North-East Nagpur,Kharbi,Robbery,15:45,2025-04-23,Pending
North-East Nagpur,Binaki,Chain Snatching,,,Pending
North-East Nagpur,Vaishali Nagar,Assault,02:45,2025-06-11,Pending
South-West Nagpur,Pratap Nagar,Fraud,19:45,2025-01-15,Resolved
North-East Nagpur,Vaishali Nagar,Chain Snatching,15:45,2025-02-02,Resolved
Central Nagpur,Ganeshpeth,Assault,13:30,2025-06-16,Pending
Central Nagpur,Ganeshpeth,Fraud,00:45,2025-05-16,Pending
North-East Nagpur,Kamptee Road,Robbery,11:45,2025-05-31,Pending
North-East Nagpur,Kamptee Road,Fraud,12:45,2025-05-21,Pending
Central Nagpur,Reshimbagh,Harassment,16:15,2025-01-25,Resolved
Central Nagpur,Ganeshpeth,Assault,04:30,2025-04-19,Pending
North-West Nagpur,Borgaon,,15:45,2025-03-13,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,05:45,2025-04-22,Resolved
Central Nagpur,Mahal,Fraud,00:30,2025-04-12,Resolved
North-East Nagpur,Binaki,Fraud,20:45,2025-02-11,Pending
South-West Nagpur,Pratap Nagar,Assault,,2025-04-06,Pending
South-West Nagpur,Trimurti Nagar,Theft,22:30,2025-05-11,Pending
North-East Nagpur,Kharbi,Fraud,14:00,2025-02-03,Resolved
North-West Nagpur,Lonara,Theft,20:00,2025-03-16,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,04:15,2025-01-15,Pending
Central Nagpur,Mahal,Fraud,14:45,2025-04-02,Pending
Central Nagpur,Sitabuldi,Assault,11:30,2025-03-31,Resolved
South-West Nagpur,Trimurti Nagar,Harassment,18:00,2025-05-17,Pending
South-West Nagpur,Pratap Nagar,Fraud,13:45,2025-04-07,Resolved
South-West Nagpur,Trimurti Nagar,Robbery,17:00,2025-04-30,Resolved
North-West Nagpur,Lonara,,06:30,2025-02-13,Resolved
Central Nagpur,Sitabuldi,Assault,00:00,2025-02-26,Pending
Central Nagpur,Mahal,Assault,13:30,2025-06-29,Resolved
North-East Nagpur,Binaki,Assault,03:45,2025-06-10,Resolved
North-East Nagpur,Binaki,Harassment,23:45,2025-02-06,Resolved
North-West Nagpur,Borgaon,Assault,18:30,2025-03-15,Pending
North-West Nagpur,Lonara,Theft,03:00,2025-06-03,Pending
North-East Nagpur,Binaki,Theft,09:15,2025-05-10,Pending
North-West Nagpur,Nara,Assault,13:45,2025-01-06,Resolved
Central Nagpur,Mahal,Theft,09:15,2025-06-01,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,14:45,2025-05-16,Resolved
South-West Nagpur,Pratap Nagar,Robbery,02:15,2025-01-10,Resolved
North-West Nagpur,Nara,Assault,13:45,2025-04-28,Pending
North-West Nagpur,Lonara,Robbery,18:15,2025-07-04,Pending
North-West Nagpur,Nara,Chain Snatching,12:00,2025-05-25,Resolved
South-West Nagpur,Pratap Nagar,Harassment,20:45,2025-06-13,Resolved
North-East Nagpur,Vaishali Nagar,Fraud,14:00,2025-05-28,Resolved
North-East Nagpur,Binaki,Theft,10:15,2025-05-31,Pending
North-East Nagpur,Binaki,,21:45,2025-05-24,Pending
North-East Nagpur,Vaishali Nagar,Robbery,16:00,2025-01-13,Pending
North-East Nagpur,Kharbi,Chain Snatching,21:45,2025-06-10,Resolved
North-West Nagpur,Kalmeshwar,Assault,20:30,2025-05-21,Pending
South-West Nagpur,Manish Nagar,Assault,15:00,2025-05-02,Resolved
South-West Nagpur,Manish Nagar,Fraud,14:30,2025-01-19,Resolved
South-West Nagpur,Pratap Nagar,Assault,19:45,2025-02-21,Pending
North-West Nagpur,Nara,Fraud,09:15,,Pending
North-West Nagpur,Borgaon,Robbery,16:15,2025-07-04,Pending
South-West Nagpur,Manish Nagar,Fraud,06:00,2025-01-26,Resolved
Central Nagpur,Sitabuldi,Assault,18:15,2025-05-13,Resolved
North-West Nagpur,Kalmeshwar,Fraud,02:45,2025-01-21,Pending
Central Nagpur,Sitabuldi,Assault,00:00,2025-05-06,Resolved
North-West Nagpur,Borgaon,Theft,17:45,2025-01-11,Pending
Central Nagpur,Mahal,Robbery,17:15,2025-05-12,Resolved
Central Nagpur,Ganeshpeth,Chain Snatching,11:45,2025-07-01,Pending
North-West Nagpur,Nara,Assault,08:15,2025-06-08,Pending
Central Nagpur,Mahal,Harassment,15:45,2025-05-12,Pending
North-East Nagpur,Vaishali Nagar,Theft,20:15,2025-04-01,Resolved
Central Nagpur,Ganeshpeth,Theft,13:45,2025-05-10,Resolved
North-West Nagpur,Borgaon,Fraud,03:00,2025-05-06,Resolved
Central Nagpur,Reshimbagh,Robbery,06:30,2025-01-18,Pending
Central Nagpur,Sitabuldi,Harassment,12:30,2025-05-27,Pending
North-West Nagpur,Lonara,Chain Snatching,23:45,2025-05-18,Resolved
South-West Nagpur,Pratap Nagar,Theft,17:45,2025-01-31,Pending
Central Nagpur,Sitabuldi,Assault,13:45,2025-03-06,Pending
North-West Nagpur,Nara,Theft,10:30,2025-05-09,Resolved
North-East Nagpur,Kharbi,Chain Snatching,09:30,2025-04-03,Resolved
Central Nagpur,Mahal,Chain Snatching,19:45,2025-03-24,Resolved
North-West Nagpur,Lonara,Theft,05:45,,Pending
North-East Nagpur,Binaki,Chain Snatching,13:15,2025-03-19,Pending
North-East Nagpur,Vaishali Nagar,Robbery,13:45,2025-05-19,Resolved
North-East Nagpur,Vaishali Nagar,Fraud,19:30,2025-07-06,Pending
North-East Nagpur,Binaki,Robbery,21:30,2025-04-27,Resolved
North-West Nagpur,Nara,Theft,06:00,2025-07-05,Pending
Central Nagpur,Reshimbagh,Theft,19:15,2025-02-11,Resolved
South-West Nagpur,Trimurti Nagar,Fraud,21:00,2025-04-02,Pending
North-East Nagpur,Binaki,Assault,01:30,2025-03-29,Pending
North-West Nagpur,Kalmeshwar,Fraud,23:15,,Pending
Central Nagpur,Mahal,Robbery,05:15,2025-06-26,Pending
Central Nagpur,Mahal,Assault,17:45,2025-02-25,Pending
North-East Nagpur,Binaki,,03:15,2025-06-18,Pending
Central Nagpur,Reshimbagh,Harassment,07:15,2025-05-05,Resolved
South-West Nagpur,Sneha Nagar,Fraud,08:45,2025-01-16,Pending
South-West Nagpur,Manish Nagar,Chain Snatching,22:30,2025-06-02,Pending
North-East Nagpur,Binaki,Chain Snatching,19:00,2025-05-24,Resolved
North-West Nagpur,Nara,,21:00,2025-04-06,Pending
North-West Nagpur,Lonara,Robbery,12:15,2025-01-20,Resolved
South-West Nagpur,Trimurti Nagar,Assault,23:00,2025-01-30,Pending
North-West Nagpur,Nara,Theft,08:45,2025-04-14,Resolved
North-East Nagpur,Vaishali Nagar,Assault,05:15,2025-02-23,Pending
Central Nagpur,Sitabuldi,,19:15,2025-06-19,Pending
North-West Nagpur,Borgaon,Robbery,02:00,2025-05-21,Resolved
North-West Nagpur,Lonara,Harassment,11:15,2025-06-08,Pending
North-West Nagpur,Nara,Chain Snatching,06:15,2025-05-23,Pending
Central Nagpur,Reshimbagh,Chain Snatching,22:30,2025-06-03,Pending
North-West Nagpur,Kalmeshwar,Theft,21:30,2025-03-08,Pending
South-West Nagpur,Pratap Nagar,Assault,04:45,2025-05-28,Resolved
North-East Nagpur,Kharbi,Robbery,22:00,2025-05-02,Pending
South-West Nagpur,Pratap Nagar,Chain Snatching,10:15,2025-06-19,Pending
North-East Nagpur,Vaishali Nagar,Chain Snatching,06:45,2025-06-27,Pending
Central Nagpur,Mahal,Fraud,06:15,2025-01-21,Pending
South-West Nagpur,Sneha Nagar,Fraud,23:00,2025-02-23,Resolved
North-West Nagpur,Borgaon,Harassment,21:30,2025-02-27,Resolved
Central Nagpur,Reshimbagh,Chain Snatching,23:30,2025-05-21,Pending
Central Nagpur,Ganeshpeth,Fraud,09:30,2025-05-10,Pending
Central Nagpur,Ganeshpeth,Harassment,,2025-01-07,Pending
South-West Nagpur,Manish Nagar,Theft,03:00,2025-01-31,Pending
North-East Nagpur,Kamptee Road,Robbery,11:15,2025-03-30,Pending
South-West Nagpur,Pratap Nagar,Harassment,09:15,2025-05-13,Resolved
North-East Nagpur,Binaki,Robbery,02:00,2025-03-05,Pending
Central Nagpur,Sitabuldi,Theft,18:15,2025-02-02,Pending
Central Nagpur,Reshimbagh,Assault,22:15,2025-03-31,Pending
North-East Nagpur,Binaki,Fraud,09:45,2025-04-12,Pending
South-West Nagpur,Sneha Nagar,Theft,02:15,2025-05-29,Resolved
South-West Nagpur,Manish Nagar,Fraud,21:00,2025-06-11,Resolved
North-East Nagpur,Vaishali Nagar,Theft,04:00,2025-07-07,Pending
Central Nagpur,Reshimbagh,,01:30,2025-06-18,Resolved
South-West Nagpur,Pratap Nagar,Theft,13:45,2025-07-04,Resolved
South-West Nagpur,Sneha Nagar,Chain Snatching,05:30,2025-05-16,Resolved
North-East Nagpur,Binaki,Chain Snatching,06:15,2025-03-03,Resolved
North-East Nagpur,Kamptee Road,Fraud,18:15,2025-05-22,Resolved
Central Nagpur,Ganeshpeth,Robbery,15:15,2025-06-14,Resolved
North-West Nagpur,Lonara,Theft,05:00,2025-04-10,Pending
Central Nagpur,Ganeshpeth,Chain Snatching,22:45,2025-01-13,Pending
North-West Nagpur,Nara,Harassment,20:00,2025-01-22,Pending
North-East Nagpur,Kharbi,Fraud,16:30,2025-04-20,Pending
South-West Nagpur,Manish Nagar,Robbery,14:45,2025-04-27,Pending
North-West Nagpur,Borgaon,Chain Snatching,17:00,2025-01-16,Pending
Central Nagpur,Reshimbagh,Assault,08:45,2025-06-10,Pending
Central Nagpur,Mahal,Theft,21:15,2025-02-11,Resolved
North-West Nagpur,Lonara,Robbery,15:00,2025-06-29,Resolved
North-West Nagpur,Nara,Harassment,10:15,2025-04-04,Resolved
South-West Nagpur,Pratap Nagar,Fraud,03:15,2025-03-07,Pending
South-West Nagpur,Manish Nagar,Fraud,23:15,2025-04-27,Pending
Central Nagpur,Mahal,Robbery,12:00,2025-05-27,Pending
North-East Nagpur,Binaki,Robbery,16:30,2025-03-02,Pending
North-East Nagpur,Vaishali Nagar,Chain Snatching,07:00,2025-01-26,Resolved
North-West Nagpur,Nara,Robbery,08:15,2025-05-21,Resolved
Central Nagpur,Mahal,Assault,07:45,2025-06-24,Resolved
North-East Nagpur,Binaki,Chain Snatching,17:30,,Pending
Central Nagpur,Reshimbagh,Robbery,20:45,2025-05-24,Resolved
North-West Nagpur,Nara,Robbery,16:45,2025-06-05,Resolved
South-West Nagpur,Trimurti Nagar,Fraud,06:15,2025-03-19,Pending
Central Nagpur,Mahal,Harassment,12:15,2025-01-20,Pending
North-East Nagpur,Vaishali Nagar,Chain Snatching,21:15,2025-06-29,Resolved
South-West Nagpur,Sneha Nagar,Fraud,15:30,2025-01-20,Pending
North-West Nagpur,Kalmeshwar,Chain Snatching,10:00,2025-03-21,Pending
North-West Nagpur,Nara,Chain Snatching,07:15,2025-05-16,Pending
North-West Nagpur,Kalmeshwar,Assault,06:15,2025-01-26,Pending
North-West Nagpur,Lonara,Harassment,15:00,2025-04-29,Resolved
South-West Nagpur,Pratap Nagar,Fraud,01:30,2025-04-17,Resolved
North-East Nagpur,Binaki,Fraud,23:15,2025-06-28,Pending
North-West Nagpur,Nara,Chain Snatching,18:45,2025-01-28,Pending
Central Nagpur,Sitabuldi,Chain Snatching,14:00,2025-05-02,Pending
South-West Nagpur,Trimurti Nagar,Harassment,13:15,2025-05-06,Resolved
South-West Nagpur,Pratap Nagar,Assault,13:15,2025-03-30,Pending
North-West Nagpur,Kalmeshwar,Theft,03:00,2025-07-06,Pending
North-East Nagpur,Binaki,Assault,00:15,2025-02-26,Resolved
North-East Nagpur,Kharbi,Theft,19:45,2025-07-07,Pending
Central Nagpur,Sitabuldi,Assault,10:30,2025-01-07,Pending
North-East Nagpur,Binaki,Theft,01:30,2025-04-22,Pending
Central Nagpur,Sitabuldi,Chain Snatching,12:30,2025-06-28,Pending
North-West Nagpur,Borgaon,Assault,13:45,2025-04-09,Pending
North-East Nagpur,Binaki,Chain Snatching,05:15,2025-02-14,Resolved
Central Nagpur,Reshimbagh,Harassment,19:45,2025-04-03,Pending
North-East Nagpur,Binaki,Harassment,11:30,2025-03-22,Resolved
South-West Nagpur,Manish Nagar,Robbery,00:45,2025-05-11,Resolved
North-West Nagpur,Kalmeshwar,Fraud,00:30,2025-01-11,Pending
North-East Nagpur,Kamptee Road,Harassment,11:15,2025-01-28,Resolved
Central Nagpur,Sitabuldi,Chain Snatching,19:15,2025-06-08,Pending
South-West Nagpur,Pratap Nagar,Assault,02:15,2025-05-13,Resolved
North-East Nagpur,Binaki,Harassment,18:15,2025-01-19,Pending
South-West Nagpur,Trimurti Nagar,Chain Snatching,03:30,2025-02-22,Pending
Central Nagpur,Reshimbagh,Robbery,23:45,2025-01-25,Pending
North-East Nagpur,Binaki,Chain Snatching,,2025-03-16,Pending
South-West Nagpur,Trimurti Nagar,Assault,15:00,2025-06-03,Resolved
North-East Nagpur,Kamptee Road,Assault,02:45,2025-07-01,Pending
North-East Nagpur,Kharbi,Assault,18:15,2025-01-26,Resolved
North-West Nagpur,Nara,Chain Snatching,20:30,2025-03-21,Resolved
North-East Nagpur,Binaki,Chain Snatching,05:45,2025-04-23,Resolved
North-East Nagpur,Vaishali Nagar,Fraud,13:30,2025-06-08,Resolved
North-West Nagpur,Nara,Harassment,05:45,2025-01-08,Resolved
Central Nagpur,Sitabuldi,Theft,10:30,2025-06-09,Resolved
North-West Nagpur,Kalmeshwar,Robbery,10:00,2025-01-06,Pending
South-West Nagpur,Manish Nagar,Fraud,17:00,2025-06-11,Resolved
North-West Nagpur,Kalmeshwar,Robbery,23:15,2025-01-17,Pending
South-West Nagpur,Sneha Nagar,Harassment,02:45,2025-01-21,Pending
Central Nagpur,Mahal,Robbery,21:00,2025-01-16,Resolved
Central Nagpur,Reshimbagh,Harassment,11:45,2025-01-22,Resolved
South-West Nagpur,Pratap Nagar,,16:30,2025-03-02,Resolved
North-West Nagpur,Borgaon,Fraud,09:15,,Pending
South-West Nagpur,Manish Nagar,Robbery,04:00,2025-06-12,Pending
Central Nagpur,Sitabuldi,Robbery,07:15,2025-03-21,Pending
South-West Nagpur,Manish Nagar,Chain Snatching,00:00,2025-04-16,Pending
Central Nagpur,Mahal,Theft,08:00,2025-04-09,Pending
South-West Nagpur,Trimurti Nagar,Harassment,05:30,2025-01-29,Resolved
South-West Nagpur,Manish Nagar,Fraud,15:45,2025-01-26,Pending
Central Nagpur,Sitabuldi,Robbery,00:15,2025-02-07,Resolved
North-West Nagpur,Borgaon,Theft,22:15,2025-02-10,Pending
Central Nagpur,Reshimbagh,Robbery,06:45,2025-06-21,Resolved
North-West Nagpur,Borgaon,Theft,11:45,2025-01-18,Pending
Central Nagpur,Reshimbagh,Robbery,01:45,2025-01-15,Pending
North-West Nagpur,Lonara,Harassment,11:00,2025-06-14,Pending
Central Nagpur,Reshimbagh,Chain Snatching,07:15,2025-03-18,Pending
Central Nagpur,Reshimbagh,Harassment,21:15,2025-03-07,Pending
Central Nagpur,Sitabuldi,Robbery,17:30,2025-06-11,Pending
Central Nagpur,Reshimbagh,Fraud,11:00,2025-03-26,Resolved
Central Nagpur,Ganeshpeth,Theft,,2025-03-12,Pending
South-West Nagpur,Manish Nagar,Fraud,11:00,2025-05-08,Pending
North-East Nagpur,Kamptee Road,Chain Snatching,04:30,2025-02-04,Pending
South-West Nagpur,Sneha Nagar,Robbery,00:45,2025-04-06,Pending
North-West Nagpur,Borgaon,Theft,16:30,2025-02-09,Resolved
North-West Nagpur,Nara,Assault,06:45,2025-02-01,Pending
North-East Nagpur,Binaki,Harassment,01:15,2025-07-06,Resolved
North-East Nagpur,Binaki,Theft,12:00,2025-01-07,Resolved
Central Nagpur,Sitabuldi,Assault,14:15,2025-04-19,Pending
Central Nagpur,Ganeshpeth,Fraud,05:45,2025-02-05,Pending
Central Nagpur,Reshimbagh,Assault,23:15,2025-03-27,Resolved
Central Nagpur,Mahal,Chain Snatching,,2025-01-10,Resolved
South-West Nagpur,Manish Nagar,Theft,11:00,2025-05-27,Pending
North-East Nagpur,Binaki,Theft,16:15,2025-06-07,Pending
South-West Nagpur,Manish Nagar,Robbery,18:00,,Pending
Central Nagpur,Sitabuldi,Fraud,06:45,2025-01-30,Pending
North-East Nagpur,Kharbi,Theft,02:30,2025-04-28,Pending
Central Nagpur,Ganeshpeth,Harassment,21:00,2025-02-26,Pending
South-West Nagpur,Manish Nagar,,09:45,2025-03-27,Resolved
South-West Nagpur,Pratap Nagar,Fraud,01:00,2025-06-29,Pending
Central Nagpur,Sitabuldi,Fraud,23:45,2025-05-08,Resolved
South-West Nagpur,Pratap Nagar,Chain Snatching,09:45,2025-06-15,Resolved
North-West Nagpur,Nara,Robbery,17:45,2025-01-07,Resolved
North-West Nagpur,Borgaon,Theft,03:30,2025-01-24,Pending
North-East Nagpur,Binaki,Assault,18:30,2025-06-06,Pending
North-West Nagpur,Nara,Robbery,11:00,2025-04-11,Pending
North-West Nagpur,Lonara,Chain Snatching,06:00,2025-03-31,Pending
North-West Nagpur,Kalmeshwar,Assault,22:15,2025-01-17,Pending
